top - 01:17:43 up 1 day,  4:42,  1 user,  load average: 0,24, 1,16, 1,43
Tasks: 293 total,   3 running, 290 sleeping,   0 stopped,   0 zombie
%Cpu(s): 35,2 us,  5,6 sy,  0,0 ni, 59,2 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   7817,7 total,    474,8 free,   3025,5 used,   4317,3 buff/cache
MiB Swap:   2048,0 total,   2041,9 free,      6,1 used.   3668,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  25209 eduardo   20   0   86336   3688   3452 S   0,0   0,0   0:00.00 gpg-age+
  25278 eduardo   20   0   16,4g  45368  37452 S   0,0   0,6   0:00.05 code
  25279 eduardo   20   0   16,4g  45132  37288 S   0,0   0,6   0:00.06 code
  25321 eduardo   20   0   16,0g   2028   1848 S   0,0   0,0   0:00.01 chrome_+
  25361 eduardo   20   0   16,4g  62832  53424 S   0,0   0,8   0:13.65 code
  25362 eduardo   20   0   16,5g 109084  73976 S   0,0   1,4  14:52.33 code
  25388 eduardo   20   0   38,6g 307644 137676 S   0,0   3,8  69:20.59 code
  25523 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop26
  25540 eduardo   20   0   28,6g 151788  98972 S   0,0   1,9   1:16.00 code
  25689 eduardo   20   0   20,6g 111016  61192 S   0,0   1,4   1:44.17 code
  25690 eduardo   20   0   20,6g  73464  56956 S   0,0   0,9   0:16.22 code
  26218 root      20   0    8428   4116   3752 S   0,0   0,1   0:00.04 bluetoo+
  26320 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop29
  27036 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop39
  42699 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 xfsalloc
  42700 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 xfs_mru+
  42708 root      20   0       0      0      0 S   0,0   0,0   0:00.00 jfsIO
  42709 root      20   0       0      0      0 S   0,0   0,0   0:00.00 jfsComm+
  42710 root      20   0       0      0      0 S   0,0   0,0   0:00.00 jfsComm+
  42711 root      20   0       0      0      0 S   0,0   0,0   0:00.00 jfsComm+
  42712 root      20   0       0      0      0 S   0,0   0,0   0:00.00 jfsComm+
  42713 root      20   0       0      0      0 S   0,0   0,0   0:00.00 jfsSync
  58677 eduardo   20   0   13548   5512   3652 S   0,0   0,1   0:00.67 bash
  59260 eduardo   20   0   13540   5332   3624 S   0,0   0,1   0:00.31 bash
  59854 eduardo   20   0 4861188 590632 246020 S   0,0   7,4   8:26.81 firefox
  59888 eduardo   20   0  202924  44820  37188 S   0,0   0,6   0:00.46 Socket +
  59940 eduardo   20   0 2422016 100880  81296 S   0,0   1,3   0:01.72 WebExte+
  59962 eduardo   20   0 2473192 125964  95692 S   0,0   1,6   0:13.14 Privile+
  60305 eduardo   20   0 2645024 262380 105744 S   0,0   3,3   2:20.09 Isolate+
  60326 eduardo   20   0 2419732 102396  85068 S   0,0   1,3   0:01.85 Isolate+
  66451 eduardo   20   0 2667156 189684 112212 S   0,0   2,4   0:38.14 Isolate+
  70782 eduardo   20   0  361816  61952  51472 S   0,0   0,8   0:00.85 RDD Pro+
  70797 eduardo   20   0  325512  54044  43744 S   0,0   0,7   0:00.56 Utility+
  70956 eduardo   20   0   13568   5596   3788 S   0,0   0,1   0:00.46 bash
  72243 root       0 -20       0      0      0 I   0,0   0,0   0:16.93 kworker+
  72640 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/133+
  72744 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ath9k-h+
  86588 eduardo   20   0   13416   5212   3512 S   0,0   0,1   0:00.07 bash
  86615 eduardo   20   0   13540   5216   3512 S   0,0   0,1   0:00.08 bash
  90249 root      20   0       0      0      0 I   0,0   0,0   0:03.55 kworker+
  90721 root      20   0   30968   8884   7352 S   0,0   0,1   0:00.04 cupsd
  90723 root      20   0  178392  12632  11060 S   0,0   0,2   0:00.05 cups-br+
  90797 root      20   0       0      0      0 I   0,0   0,0   0:02.78 kworker+
  91014 eduardo   20   0   13416   5312   3616 S   0,0   0,1   0:00.04 bash
  91766 eduardo   20   0    6052   1584   1420 S   0,0   0,0   0:00.00 zoom
  91774 eduardo   20   0 3308720 353236 138268 S   0,0   4,4  20:46.33 zoom
  93021 root      20   0       0      0      0 I   0,0   0,0   0:13.29 kworker+
  93854 root      20   0       0      0      0 I   0,0   0,0   0:00.64 kworker+
  93934 root      20   0       0      0      0 I   0,0   0,0   0:00.26 kworker+
  93993 eduardo   20   0 1127396  67416  46912 S   0,0   0,8   0:02.71 nautilus
  94055 root      20   0       0      0      0 I   0,0   0,0   0:00.25 kworker+
  94103 root      20   0       0      0      0 I   0,0   0,0   0:00.45 kworker+
  94207 root      20   0       0      0      0 I   0,0   0,0   0:00.15 kworker+
  94220 eduardo   20   0 2404816 102252  87392 S   0,0   1,3   0:01.38 Isolate+
  94373 root      20   0       0      0      0 I   0,0   0,0   0:00.21 kworker+
  94553 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  94558 eduardo   20   0 2404816 102120  87392 S   0,0   1,3   0:00.81 Isolate+
  94692 eduardo   20   0 2446412 119896  93128 S   0,0   1,5   0:01.34 Web Con+
  94715 eduardo   20   0 2404816 100724  86220 S   0,0   1,3   0:00.67 Isolate+
  94912 eduardo   20   0 2932508 289348 114548 S   0,0   3,6   1:00.73 Isolate+
  94948 eduardo   20   0 2793248 236008 111104 S   0,0   2,9   0:11.64 Isolate+
  94967 eduardo   20   0 2384408  75756  64368 S   0,0   0,9   0:00.11 Web Con+
  94993 eduardo   20   0 2384408  76084  64696 S   0,0   1,0   0:00.21 Web Con+
  95022 root      20   0       0      0      0 I   0,0   0,0   0:00.13 kworker+
  95056 root      20   0       0      0      0 I   0,0   0,0   0:00.06 kworker+
  95088 eduardo   20   0 2384424  76064  64620 S   0,0   1,0   0:00.11 Web Con+
  95151 eduardo   20   0    2728   1984   1860 S   0,0   0,0   0:00.01 publish+
  95187 eduardo   20   0    2728   1788   1668 S   0,0   0,0   0:00.00 publish+
  95317 eduardo   20   0    2364    580    512 S   0,0   0,0   0:00.00 exec_top
  95318 eduardo   20   0   14520   4060   3344 R   0,0   0,1   0:00.02 top
95173 eduardo   20   0    2664    684    604 S   0,0   0,0   0:00.00 suscrib+
  95187 eduardo   20   0    2728   1788   1668 S   0,0   0,0   0:00.00 publish+
  95210 eduardo   20   0    2664    620    540 S   0,0   0,0   0:00.00 suscrib+
  95303 eduardo   20   0    2364    576    512 S   0,0   0,0   0:00.00 exec_top
  95296 eduardo   20   0    2364    576    512 S   0,0   0,0   0:00.00 exec_top
eduardo   20   0    2364    576    512 S   0,0   0,0   0:00.00 exec_top
  20100 eduardo   20   0    2364    508    444 S   0,0   0,0   0:00.00 exec_top
19743 eduardo   20   0    2664    620    540 S   0,0   0,0   0:00.00 suscrib+
  19901 eduardo   20   0  437280  27160  15236 S   0,0   0,3   0:00.23 tracker+
  19953 eduardo   39  19 1282748  35936  24544 S   0,0   0,4   0:00.23 tracker+
  20094 eduardo   20   0    2364    576    512 S   0,0   0,0   0:00.00 exec_top
 0,0   0,0   0:00.00 kworker+
  16998 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  16999 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  17000 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  17001 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  17002 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  17003 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  17004 root      20   0       0      0      0 I   0,0   0,0   0:00.14 kworker+
  17005 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  17006 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  17007 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  17008 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  17009 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  17010 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
